# source: https://www.fantasypros.com/nba/projections/avg-overall.php
# fetched: 2026-09-25T21:00:32+00:00
# page: NBA Fantasy Basketball Overall 2026-27 Average Projections | FantasyPros
# note: FantasyPros consensus per-game projections, 266 players;
#       no FGA/FTA published, so FG%/FT% z-scores are unweighted.
rank,name,team,pos,inj,inj_note,g,mpg,pts,three,reb,ast,stl,blk,fg_pct,ft_pct,to
173,Malik Monk,SAC,"PG,SG",,,73,23.1,12.6,1.8,2.4,3.8,0.6,0.4,0.445,0.863,1.7
174,Anthony Black,ORL,"PG,SG,SF",,,73,26.0,11.7,1.1,3.3,3.1,1.2,0.6,0.442,0.737,1.7
175,Kingston Flemings,ATL,"PG,SG",,,74,25.6,12.1,1.3,2.5,4.0,1.2,0.3,0.441,0.794,2.0
176,Luke Kennard,PHO,"PG,SF,SG",,,76,20.9,7.7,1.4,2.3,2.2,0.7,0.1,0.506,0.9,0.8
177,Draymond Green,GSW,"PF,C",,,71,27.1,8.0,1.2,5.6,5.1,1.1,0.7,0.425,0.696,2.4
178,Derrick Jones Jr.,LAC,"SF,PF",,,73,25.3,9.8,1.1,3.3,1.0,0.9,0.7,0.506,0.729,0.8
179,Jared McCain,OKC,"PG,SG",,,73,25.5,12.9,2.1,2.8,2.0,0.7,0.1,0.439,0.863,1.2
180,Anfernee Simons,PHI,"PG,SG",,,72,23.7,13.1,2.1,2.1,2.8,0.5,0.1,0.442,0.901,1.3
181,Kelly Oubre Jr.,IND,"PF,SF,SG",,,72,25.8,11.3,1.1,4.2,1.4,0.9,0.4,0.479,0.758,1.0
182,Ajay Mitchell,OKC,"PG,SG",,,66,19.7,9.8,0.8,2.4,2.6,0.9,0.2,0.478,0.87,1.1
183,Duncan Robinson,DET,"SG,SF",,,76,25.7,11.5,2.7,2.5,2.1,0.6,0.2,0.452,0.776,0.9
184,Jake LaRavia,LAL,"SF,PF",,,78,25.7,8.2,1.0,4.2,2.0,1.2,0.4,0.459,0.743,1.2
185,Bennedict Mathurin,NOR,"SG,SF",,,73,28.7,15.9,1.2,5.0,1.9,0.7,0.3,0.442,0.85,2.0
186,Tim Hardaway Jr.,MIA,"SG,SF",,,79,27.1,12.5,2.5,2.5,1.5,0.6,0.1,0.425,0.824,0.6
187,Collin Murray-Boyles,TOR,"C,PF",,,72,19.9,7.7,0.3,4.4,1.6,0.8,0.8,0.59,0.669,1.0
188,Moussa Diabate,CHA,"PF,C",,,74,21.3,6.1,0.0,6.8,1.4,0.6,0.7,0.623,0.646,0.8
189,Kevin Huerter,DET,"SG,SF",,,73,22.3,9.1,1.4,3.2,2.2,0.9,0.5,0.444,0.764,1.0
190,Jaime Jaquez Jr.,MIL,"PF,SF,SG",,,76,26.8,13.2,0.8,4.4,4.0,0.7,0.3,0.492,0.765,1.9
191,Obi Toppin,IND,"PF,SF",,,70,18.4,9.6,1.2,3.7,1.6,0.5,0.3,0.531,0.799,0.8
192,Isaiah Stewart,MEM,"C,PF",,,73,19.7,7.5,0.5,4.4,1.2,0.3,1.2,0.544,0.753,0.9
193,Klay Thompson,MIA,"SG,SF",,,74,22.0,11.6,2.8,2.3,1.5,0.5,0.3,0.41,0.832,0.9
194,Jaylon Tyson,CLE,"PF,SF,SG",,,70,23.4,11.1,1.6,4.6,2.1,0.7,0.3,0.475,0.741,1.3
